name,releaseDate,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers,steamId
WWE 2K24,07-03-2024,165301,100.0,8055097.0,42.4,71.0,AAA,2K,Visual Concepts,2315690
EARTH DEFENSE FORCE 6,25-07-2024,159806,60.0,7882151.0,29.7,57.0,Indie,D3PUBLISHER,SANDLOT,2291060
Sins of a Solar Empire II,15-08-2024,214192,50.0,7815247.0,12.5,88.0,Indie,Stardock Entertainment,"Ironclad Games Corporation,Stardock Entertainment",1575940
Legend of Mortal,14-06-2024,440998,20.0,7756399.0,24.8,76.0,Indie,"Paras Games,Obb Studio Inc.",Obb Studio Inc.,1859910
Shin Megami Tensei V: Vengeance,13-06-2024,141306,60.0,7629252.0,34.3,96.0,AA,SEGA,ATLUS,1875830
Soulmask,30-05-2024,304685,30.0,7540563.0,95.7,79.0,Indie,Qooland Games,CampFire Studio,2646460
The Universim,22-01-2024,328945,30.0,7534369.0,16.9,81.0,Indie,Crytivo,Crytivo,352720
Bellwright,23-04-2024,280955,30.0,7481940.0,41.4,78.0,Indie,"Donkey Crew,Snail Games USA",Donkey Crew,1812450
Night of the Dead,31-05-2024,394364,30.0,7091792.0,27.6,79.0,Indie,Jackto Studios,Jackto Studios,1377380
Empires of the Undergrowth,07-06-2024,408292,30.0,6950952.0,38.6,95.0,AA,"Hooded Horse,Slug Disco",Slug Disco,463530
KINGDOM HEARTS -HD 1.5+2.5 ReMIX-,13-06-2024,212325,50.0,6828446.0,30.3,,AA,Square Enix,Square Enix,2552430
ANIMAL WELL,09-05-2024,305891,25.0,6420393.0,8.5,96.0,Indie,Bigmode,Billy Basso,813230
Age of Mythology: Retold,04-09-2024,236419,30.0,6381185.0,9.4,91.0,AAA,Xbox Game Studios,"World's Edge,Forgotten Empires,Tantalus Media,CaptureAge,Virtuos Games",1934680
STAR WARS™: Battlefront Classic Collection,13-03-2024,185054,35.01,6048340.0,4.4,,Indie,Aspyr,Aspyr,2446550
Another Crab's Treasure,25-04-2024,264723,30.0,5719324.0,10.4,95.0,Indie,Aggro Crab,Aggro Crab,1887840
Homeworld 3,13-05-2024,102487,60.0,5516030.0,8.5,42.0,AA,Gearbox Publishing,Blackbird Interactive,1840080
Winter Memories,05-01-2024,424281,20.0,5478333.0,9.0,,Indie,Kagura Games,Dojin Otome,2495450
Nine Sols,28-05-2024,214407,30.0,5475592.0,17.9,96.0,Indie,RedCandleGames,RedCandleGames,1809540
Outpost: Infinity Siege,26-03-2024,278031,25.0,5312327.0,35.1,68.0,AA,Lightning Games,Team Ranger,1566690
Sker Ritual,18-04-2024,267953,25.0,5058868.0,6.5,82.0,Indie,Wales Interactive,Wales Interactive,1492070
shapez 2,15-08-2024,261028,25.0,4810868.0,16.3,99.0,Indie,"tobspr Games,Gamera Games",tobspr Games,2162800
Senua’s Saga: Hellblade II,21-05-2024,107010,50.0,4747832.0,5.2,88.0,AAA,Xbox Game Studios,Ninja Theory,2461850
Pixel Gun 3D: PC Edition,02-04-2024,1626877,0.0,4707782.0,11.9,62.0,Indie,Cubic Games Studio,Cubic Games Studio,2524890
Backpack Battles,08-03-2024,499559,13.0,4663468.0,42.9,90.0,Indie,"PlayWithFurcifer,IndieArk",PlayWithFurcifer,2427700
Crime Scene Cleaner,14-08-2024,285596,20.0,4644684.0,8.6,98.0,Indie,"President Studio,PlayWay S.A.",President Studio,1040200
Kebab Chefs! - Restaurant Simulator,19-01-2024,312189,18.0,4552032.0,9.5,89.0,Indie,Biotech Gameworks,Biotech Gameworks,1001270
Predecessor,20-08-2024,433605,0.0,4523839.944318563,109.9,79.0,Indie,Omeda Studios,Omeda Studios,961200
Palia,25-03-2024,881082,0.0,4263470.0,47.0,78.0,Indie,Singularity 6 Corporation,Singularity 6 Corporation,2707930
"Little Kitty, Big City",09-05-2024,206880,25.0,4238137.0,4.1,95.0,Indie,Double Dagger Studio,Double Dagger Studio,1177980
Secrets of Grindea,29-02-2024,314988,15.0,4161183.0,21.7,90.0,Indie,Pixel Ferrets,Pixel Ferrets,269770
Chrono Ark,02-05-2024,301197,25.0,4113334.0,37.2,91.0,Indie,Al Fine,Al Fine,1188930
Nova Drift,12-08-2024,445361,18.0,4047331.0,24.7,96.0,Indie,Pixeljam,Chimeric,858210
Kingdom Rush 5: Alliance TD,25-07-2024,245264,20.0,4042356.0,9.1,86.0,Indie,Ironhide Game Studio,Ironhide Game Studio,2849080
Norland,18-07-2024,170621,30.0,3991591.0,18.5,79.0,AA,Hooded Horse,Long Jaunt,1857090
Eiyuden Chronicle: Hundred Heroes,23-04-2024,91925,50.0,3953243.0,26.2,,AA,505 Games,Rabbit & Bear Studios,1658280
Le Mans Ultimate,20-02-2024,120703,33.0,3740762.0,24.5,78.0,Indie,Studio 397,Studio 397,2399420
The Hungry Lamb: Traveling in the Late Ming Dynasty,22-04-2024,588305,10.0,3689551.0,5.5,97.0,Indie,"零创游戏(ZerocreationGame),2P Games",零创游戏(ZerocreationGame),2593370
Fabledom,13-05-2024,274354,21.0,3559827.0,9.7,90.0,Indie,"Dear Villagers,Doyoyo Games",Grenaa Games,1651560
Apollo Justice: Ace Attorney Trilogy,24-01-2024,89327,50.0,3465018.0,40.0,93.0,AAA,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",2187220
F1® Manager 2024,23-07-2024,111464,35.0,3428483.0,22.8,66.0,AA,Frontier Developments,Frontier Developments,2591280
Men of War II,15-05-2024,84565,45.0,3406127.0,21.1,,Indie,Fulqrum Publishing,Best Way,1128860
Banishers: Ghosts of New Eden,12-02-2024,78137,50.0,3387809.0,22.3,87.0,AA,Focus Entertainment,DON'T NOD,1493640
Buckshot Roulette,04-04-2024,1486957,3.0,3369649.0,3.0,95.0,Indie,CRITICAL REFLEX,Mike Klubnika,2835570
